Title;URL;Engine;Info;Dimensions;Year Built;Location;Price;Model;Length;Beam;Age
Spits 39.09;https://www.yachtall.com/en/boat/spits-39.09-s178485; Mercedes-Benz O M 4 2 3, 350 hp (257 kW), diesel; Jeanneau, used boat; 39.09 m x 5.05 m;1955;Netherlands;350000;Jeanneau;39.09;5.05;68
Kempers Cutter 60';https://www.yachtall.com/en/boat/kempers-cutter-60-s209023; Mercedes-Benz m t u, 250 hp (184 kW); Kempers, used boat; 17.50 m x 4.90 m;1993;France, Côte d’Azur;350000;Kempers;17.5;4.9;30
Kobe 43’;https://www.yachtall.com/en/boat/kobe-43-s201032; Volvo Penta 55 HP D2, 55 hp (40 kW), diesel; Technologie Marine, used boat; 13 m x 4.40 m;2010;France, Port-Saint-Louis-du-Rhône;350000;Technologie Marine;13;4.4;13
Nautor's Swan 65;https://www.yachtall.com/en/boat/nautors-swan-65-s203982; Volvo Penta, 40 hp (29 kW), diesel; Emka, used boat, GRP/polyester; 19.75 m x 4.98 m;1973;Italy, Roma;350000;Emka;19.75;4.98;50
Brauer Goelette;https://www.yachtall.com/en/boat/brauer-goelette-s174538; Scania Vabis D8R40, 125 hp (92 kW), diesel; Brauer Shipyard, old-timer; 16.80 m x 5.20 m;1945;France, Marseille;350000;Brauer Shipyard;16.8;5.2;78
Hanse 458;https://www.boat24.com/en/sailingboats/hanse/hanse-458/detail/512054/;1 x 57 HP / 42 kW;;14.04 x 4.38 m;2022;Germany » Breege;349000;Hanse;14.04;4.38;1
Dufour 470 Grand Large;https://www.yachtall.com/en/boat/dufour-470-grand-large-s171574; Volvo Penta D2-60, 59 hp (43 kW), diesel; Dufour, demonstration model, GRP/polyester; 14.85 m x 4.74 m;2022;France, La Rochelle;349000;Dufour;14.85;4.74;1
Picchiotti Laurent Giles 65;https://www.yachtall.com/en/boat/picchiotti-laurent-giles-65-s211916; Mercedes-Benz O M 3 5 2, 130 hp (96 kW), diesel; Hanse, used boat, GRP/polyester; 19.83 m x 4.76 m;1984;Spain, Balearics;349000;Hanse;19.83;4.76;39
Najad 410;https://www.yachtall.com/en/boat/najad-410-s210317; Volvo Penta D2-55, 55 hp (40 kW), diesel; Najad, used boat, GRP/polyester; 12.20 m x 3.85 m;2009;Germany, Ostseeküste;349000;Najad;12.2;3.85;14
Hanse 458;https://www.yachtall.com/en/boat/hanse-458-s186698; Yanmar, 57 hp (42 kW); Hanse, used boat, GRP/polyester; 14.04 m x 4.38 m;2022;Germany, Breege;349000;Hanse;14.04;4.38;1
Hanse 458;https://www.boat24.com/en/sailingboats/hanse-458/detail/533290/;;;14.04 x 4.38 m;2022;Germany;348660;Hanse;14.04;4.38;1
Arcona 430;https://www.boat24.com/en/sailingboats/arcona/arcona-430/detail/500334/;;;13.15 x 3.98 m;2011;United Kingdom » Southampton;347900;Arcona;13.15;3.98;12
Bavaria Cruiser 46;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-46/detail/531451/;1 x 50 HP / 37 kW;;14.24 x 4.35 m;2023;Germany » Breege;346000;Bavaria;14.24;4.35;0
Bavaria Cruiser 46;https://www.yachtall.com/en/boat/bavaria-cruiser-46-s202753; Volvo Penta D2-50, 50 hp (37 kW), diesel; Bavaria, used boat, GRP/polyester; 14.24 m x 4.35 m;2023;Germany, Breege;346000;Bavaria;14.24;4.35;0
Elan Impression 45.1;https://www.boat24.com/en/sailingboats/elan/elan-impression-451/detail/510161/;1 x 75 HP / 55 kW;;13.51 x 4.28 m;2020;Greece;345000;Elan;13.51;4.28;3
Bekebrede One Off;https://www.yachtall.com/en/boat/bekebrede-one-off-s53125; Perkins Sabre, 160 hp (118 kW), diesel; Bekebrede, used boat, aluminium boat; 14.80 m x 4.50 m;2004;Portugal, Contact De Valk Portugal;345000;Bekebrede;14.8;4.5;19
Elan Impression 45.1;https://www.yachtall.com/en/boat/elan-impression-45.1-s210291; Volvo Penta D2, 75 hp (55 kW), diesel; Elan, used boat, GRP/polyester; 13.51 m x 4.18 m;2022;Turkey, Marmaris;345000;Elan;13.51;4.18;1
Elan Impression 45.1;https://www.yachtall.com/en/boat/elan-impression-45.1-s197680; Volvo Penta 75D2, 75 hp (55 kW), diesel; Elan, used boat, GRP/polyester; 13.51 m x 4.28 m;2020;Greece, Rhodos;345000;Elan;13.51;4.28;3
Mystic 60';https://www.yachtall.com/en/boat/mystic-60-s191495; Perkins Sabre 135, 135 hp (99 kW), diesel; Mystic, used boat, GRP/polyester; 18.28 m x 4.88 m;1989;France, Porquerolles;345000;Mystic;18.28;4.88;34
Three Masted Schooner 72ft;https://www.yachtall.com/en/boat/three-masted-schooner-72ft-s173375; Perkins Sabre M130c, 130 hp (96 kW), diesel; Three Masted Schooner, used boat; 21.95 m x 4.27 m;1994;Great Britain, Essex;345000;Three Masted Schooner;21.95;4.27;29
